Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3
,,,,,,,,396,21622,6174,2948
,,,,,,,,397,21508,6142,2932
,,,,,,,,398,21482,6136,2928
,,,,,,,,399,21410,6114,2918
,,,,,,,,400,21616,6172,2948
,,,,,,,,401,22816,6516,3110
,,,,,,,,402,23980,6848,3270
,,,,,,,,403,23646,6752,3224
,,,,,,,,404,22934,6550,3126
,,,,,,,,405,21872,6248,2982
,,,,,,,,406,20290,5794,2766
,,,,,,,,407,18316,5230,2496
,,,,,,,,408,16540,4724,2254
,,,,,,,,409,15346,4382,2092
,,,,,,,,410,14736,4208,2008
,,,,,,,,411,14420,4118,1966
,,,,,,,,412,14384,4108,1960
,,,,,,,,413,14856,4242,2026
,,,,,,,,414,16390,4680,2234
,,,,,,,,415,19202,5484,2618
,,,,,,,,416,20674,5904,2818
,,,,,,,,417,20828,5948,2838
,,,,,,,,418,20954,5984,2856
,,,,,,,,419,21116,6030,2878
,,,,,,,,420,21126,6034,2880
,,,,,,,,421,21028,6006,2868
,,,,,,,,422,21004,6000,2864
,,,,,,,,423,20904,5970,2850
,,,,,,,,424,21080,6020,2874
,,,,,,,,425,22334,6378,3046
,,,,,,,,426,24444,6982,3332
,,,,,,,,427,24622,7032,3358
,,,,,,,,428,24194,6910,3298
,,,,,,,,429,23362,6672,3184
,,,,,,,,430,21950,6270,2992
,,,,,,,,431,20152,5756,2746
,,,,,,,,432,18498,5282,2522
,,,,,,,,433,17468,4988,2382
,,,,,,,,434,16976,4848,2314
,,,,,,,,435,16772,4790,2286
,,,,,,,,436,16810,4800,2292
,,,,,,,,437,17344,4952,2364
,,,,,,,,438,18892,5396,2576
,,,,,,,,439,21720,6202,2960
,,,,,,,,440,23202,6626,3162
,,,,,,,,441,23266,6644,3172
,,,,,,,,442,23148,6612,3156
,,,,,,,,443,23022,6574,3140
,,,,,,,,444,22736,6492,3100
,,,,,,,,445,22380,6392,3050
,,,,,,,,446,22156,6328,3020
,,,,,,,,447,21892,6252,2986
,,,,,,,,448,22042,6296,3006
,,,,,,,,449,23154,6612,3158
,,,,,,,,450,24704,7056,3368
,,,,,,,,451,24660,7042,3362
,,,,,,,,452,24234,6922,3304
,,,,,,,,453,23262,6644,3170
,,,,,,,,454,21730,6206,2962
,,,,,,,,455,19800,5654,2700
,,,,,,,,456,18050,5156,2462
,,,,,,,,457,16868,4818,2300
,,,,,,,,458,16200,4628,2210
,,,,,,,,459,15894,4538,2166
,,,,,,,,460,15826,4520,2158
,,,,,,,,461,16304,4658,2222
,,,,,,,,462,17732,5064,2418
,,,,,,,,463,20376,5820,2778
,,,,,,,,464,21782,6222,2968
,,,,,,,,465,21940,6266,2990
,,,,,,,,466,22004,6284,3000
,,,,,,,,467,22066,6302,3008
,,,,,,,,468,21976,6276,2996
,,,,,,,,469,21730,6206,2962
,,,,,,,,470,21572,6162,2940
,,,,,,,,471,21312,6086,2906
,,,,,,,,472,21348,6098,2910
,,,,,,,,473,22296,6368,3040
,,,,,,,,474,24050,6870,3280
,,,,,,,,475,23960,6842,3266
,,,,,,,,476,23372,6674,3186
,,,,,,,,477,22610,6458,3082
,,,,,,,,478,21522,6146,2934
,,,,,,,,479,20038,5722,2732
,,,,,,,,480,18486,5278,2520
,,,,,,,,481,17380,4964,2370
,,,,,,,,482,16760,4786,2284
,,,,,,,,483,16380,4678,2232
,,,,,,,,484,16232,4636,2212
,,,,,,,,485,16370,4676,2232
,,,,,,,,486,16900,4828,2304
,,,,,,,,487,17946,5126,2446
,,,,,,,,488,19192,5480,2616
,,,,,,,,489,20580,5878,2806
,,,,,,,,490,21790,6222,2970
,,,,,,,,491,22534,6436,3072
,,,,,,,,492,22852,6526,3116
,,,,,,,,493,22850,6526,3116
,,,,,,,,494,22560,6442,3076
,,,,,,,,495,22192,6338,3026
,,,,,,,,496,22036,6292,3004
,,,,,,,,497,22878,6532,3120
,,,,,,,,498,24322,6946,3316
,,,,,,,,499,24072,6874,3282
,,,,,,,,500,23238,6636,3168
,,,,,,,,501,22380,6390,3050
,,,,,,,,502,21268,6074,2898
,,,,,,,,503,19902,5684,2714
,,,,,,,,504,18566,5302,2532
,,,,,,,,505,17522,5004,2390
,,,,,,,,506,16948,4840,2312
,,,,,,,,507,16672,4760,2272
,,,,,,,,508,16550,4728,2256
,,,,,,,,509,16660,4758,2272
,,,,,,,,510,17114,4888,2332
,,,,,,,,511,17918,5118,2444
,,,,,,,,512,18798,5368,2564
,,,,,,,,513,19964,5700,2722
,,,,,,,,514,20682,5906,2820
,,,,,,,,515,20966,5988,2858
,,,,,,,,516,20962,5986,2856
,,,,,,,,517,20836,5950,2840
,,,,,,,,518,20678,5906,2818
,,,,,,,,519,20616,5888,2810
,,,,,,,,520,20652,5898,2816
,,,,,,,,521,21616,6172,2948
,,,,,,,,522,23054,6584,3142
,,,,,,,,523,23062,6586,3144
,,,,,,,,524,22640,6466,3088
,,,,,,,,525,21810,6230,2974
,,,,,,,,526,20444,5840,2786
,,,,,,,,527,18916,5402,2578
,,,,,,,,528,17366,4958,2368
,,,,,,,,529,16252,4642,2216
,,,,,,,,530,15684,4478,2138
,,,,,,,,531,15454,4414,2108
,,,,,,,,532,15466,4418,2110
,,,,,,,,533,15946,4554,2174
,,,,,,,,534,17408,4970,2372
,,,,,,,,535,20068,5730,2736
,,,,,,,,536,21562,6158,2938
,,,,,,,,537,21884,6252,2984
,,,,,,,,538,22066,6302,3008
,,,,,,,,539,22238,6352,3032
,,,,,,,,540,22206,6340,3028
,,,,,,,,541,21992,6280,2998
,,,,,,,,542,21842,6238,2978
,,,,,,,,543,21606,6170,2946
,,,,,,,,544,21616,6172,2948
,,,,,,,,545,22602,6454,3080
,,,,,,,,546,24038,6864,3278
,,,,,,,,547,23838,6808,3250
,,,,,,,,548,23082,6592,3148
,,,,,,,,549,21994,6280,2998
,,,,,,,,550,20394,5824,2780
,,,,,,,,551,18388,5250,2506
,,,,,,,,552,16570,4732,2260
,,,,,,,,553,15414,4402,2100
,,,,,,,,554,14682,4194,2000
,,,,,,,,555,14324,4090,1952
,,,,,,,,556,14232,4064,1940
,,,,,,,,557,14638,4180,1996
,,,,,,,,558,15988,4566,2180
,,,,,,,,559,18674,5332,2546
,,,,,,,,560,20156,5756,2748
,,,,,,,,561,20306,5800,2768
,,,,,,,,562,20222,5776,2756
,,,,,,,,563,20246,5782,2760
,,,,,,,,564,20162,5758,2748
,,,,,,,,565,19930,5692,2716
,,,,,,,,566,19778,5650,2696
,,,,,,,,567,19566,5588,2666
,,,,,,,,568,19582,5592,2670
,,,,,,,,569,20562,5872,2804
,,,,,,,,570,22364,6388,3050
,,,,,,,,571,22384,6392,3052
,,,,,,,,572,21852,6240,2978
,,,,,,,,573,20986,5994,2860
,,,,,,,,574,19552,5584,2664
,,,,,,,,575,17760,5072,2422
,,,,,,,,576,16084,4594,2192
,,,,,,,,577,15006,4286,2046
,,,,,,,,578,14464,4130,1972
,,,,,,,,579,14222,4062,1938
,,,,,,,,580,14234,4066,1940
,,,,,,,,581,14692,4196,2002
,,,,,,,,582,16174,4618,2204
,,,,,,,,583,18980,5420,2588
,,,,,,,,584,20546,5868,2802
,,,,,,,,585,20676,5904,2818
,,,,,,,,586,20792,5938,2836
,,,,,,,,587,20886,5964,2848
,,,,,,,,588,20832,5950,2840
,,,,,,,,589,20624,5890,2812
,,,,,,,,590,20512,5858,2796
,,,,,,,,591,20276,5790,2766
,,,,,,,,592,20244,5782,2760
,,,,,,,,593,21156,6042,2884
,,,,,,,,594,23146,6612,3156
,,,,,,,,595,23280,6650,3174
,,,,,,,,596,22750,6498,3102
,,,,,,,,597,21916,6260,2988
,,,,,,,,598,20422,5832,2784
,,,,,,,,599,18486,5278,2520
,,,,,,,,600,16770,4788,2286
,,,,,,,,601,15650,4470,2134
,,,,,,,,602,15078,4306,2056
,,,,,,,,603,14808,4228,2020
,,,,,,,,604,14796,4226,2018
,,,,,,,,605,15264,4360,2080
,,,,,,,,606,16686,4766,2274
,,,,,,,,607,19474,5560,2656
,,,,,,,,608,20964,5988,2858
,,,,,,,,609,21064,6016,2872
,,,,,,,,610,21000,5998,2864
,,,,,,,,611,20948,5982,2856
,,,,,,,,612,20810,5944,2836
,,,,,,,,613,20644,5896,2814
,,,,,,,,614,20628,5890,2812
,,,,,,,,615,20570,5874,2804
,,,,,,,,616,20728,5920,2826
,,,,,,,,617,21736,6208,2964
,,,,,,,,618,23320,6660,3180
,,,,,,,,619,23260,6642,3170
,,,,,,,,620,22722,6490,3098
,,,,,,,,621,21822,6232,2976
,,,,,,,,622,20382,5820,2778
,,,,,,,,623,18488,5280,2520
,,,,,,,,624,16792,4796,2290
,,,,,,,,625,15644,4468,2132
,,,,,,,,626,14988,4280,2042
,,,,,,,,627,14686,4194,2002
,,,,,,,,628,14578,4164,1988
,,,,,,,,629,14964,4274,2040
,,,,,,,,630,16284,4650,2220
,,,,,,,,631,18776,5362,2560
,,,,,,,,632,20466,5844,2790
,,,,,,,,633,20988,5994,2862
,,,,,,,,634,21330,6092,2908
,,,,,,,,635,21560,6158,2938
,,,,,,,,636,21634,6178,2948
,,,,,,,,637,21486,6136,2928
,,,,,,,,638,21314,6088,2906
,,,,,,,,639,21032,6006,2868
,,,,,,,,640,20936,5980,2854
,,,,,,,,641,21576,6162,2942
,,,,,,,,642,22508,6428,3070
,,,,,,,,643,22176,6334,3024
,,,,,,,,644,21430,6120,2922
,,,,,,,,645,20624,5890,2812
,,,,,,,,646,19534,5580,2664
,,,,,,,,647,18082,5164,2464
,,,,,,,,648,16610,4744,2264
,,,,,,,,649,15426,4406,2102
,,,,,,,,650,14712,4202,2006
,,,,,,,,651,14348,4096,1956
,,,,,,,,652,14212,4058,1938
,,,,,,,,653,14340,4096,1956
